Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0011,LABORATÓRIO DE REDES,A,2021.1,FLAVIO ELIAS GOMES DE DEUS (30h),6M12,30,5,FT LAB.REDES
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,A,2021.1,LEONARDO AGUAYO (30h),4M5 4T1,2,2,Remoto
ENE0046,LABORATÓRIO DE ELETRÔNICA,E,2021.1,ALEXANDRE RICARDO SOARES ROMARIZ (30h),6T23,20,17,A definir
ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,A,2021.1,HUMBERTO ABDALLA JUNIOR (30h),6M12,60,11,FT BT-13/15
ENE0005,INSTRUMENTAÇÃO DE CONTROLE DE PROCESSOS,A,2021.1,LELIO RIBEIRO SOARES JUNIOR (60h),35T23,50,27,FT BT 52/15
ENE0039,SISTEMAS DIGITAIS,B,2021.1,ALEXANDRE RICARDO SOARES ROMARIZ (60h),24T45,60,46,SG-11 A1 57/12
ENE0050,LABORATÓRIO DE MATERIAIS ELÉTRICOS E MAGNÉTICOS,A,2021.1,JOSE CAMARGO DA COSTA (30h),4T45,20,19,SG-11 A1 29/15
ENE0063,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE REDES DE COMUNICAÇÃO,G,2021.1,GEORGES DANIEL AMVAME NZE (180h),7M12345 7T123456 7N1,4,1,Remoto
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,A,2021.1,ACHILES FONTANA DA MOTA (30h),2T23,20,15,A Definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,62,2021.1,LOANA NUNES VELASCO (150h),23456N3,10,1,virtual
ENE0056,SISTEMAS MICROPROCESSADOS,B,2021.1,RICARDO ZELENOVSKY (60h),24M12,70,53,FT BT-13/15
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,28,2021.1,RICARDO ZELENOVSKY (90h),234M5 234T,1,1,remoto
ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,F,2021.1,ADONIRAN JUDSON DE BARROS BRAGA (30h),5T45,20,5,A Definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,63,2021.1,MYLENE CHRISTINE QUEIROZ DE FARIAS (150h),23456N3,10,1,Virtual
ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,C,2021.1,RICARDO ZELENOVSKY (30h),4M34,21,16,A definir
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,33,2021.1,MYLENE CHRISTINE QUEIROZ DE FARIAS (30h),7T23,1,1,A definir
ENE0068,SINAIS E SISTEMAS EM TEMPO DISCRETO,B,2021.1,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO (60h),35T45,50,29,FT BT-52/15
ENE0063,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE REDES DE COMUNICAÇÃO,F,2021.1,WILLIAM FERREIRA GIOZZA (180h),7M1234 7T2345 6N123,4,0,Remoto
