Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
MAT0026,CÁLCULO 2,E,2021.1,ANGEL RODOLFO BAIGORRI (90h),2N12 35N34,70,47,ICC ANF. 4 E ICC ANF. 6
MAT0031,INTRODUCAO A ALGEBRA LINEAR,H,2021.1,VICTOR PETROGRADSKIY (60h),46M34,70,46,ICC ANF. 8
MAT0045,ANALISE 1,B,2021.1,LILIANE DE ALMEIDA MAIA (60h),24M12,40,45,ICC ASS 432/10 E ICC ASS 433/10
MAT0025,CÁLCULO 1,Y,2021.1,ROBERTO OSCAR GANDULFO (60h),246M12,80,43,ICC ANF.12 E ICC ANF. 4
MAT0025,CÁLCULO 1,E,2021.1,LUCIANA MARIA DIAS DE AVILA RODRIGUES (60h),246T23,40,22,virtual
MAT0027,CÁLCULO 3,02A,2021.1,YEVSEY YEHOSHUA SOBOLEVSKY (90h),235T45,80,0,Remoto - FGA
MAT0111,GEOMETRIA 1,A,2021.1,GUY GREBOT (60h),24M12,50,18,ASS 421/10
MAT0028,VARIAVEL COMPLEXA 1,A,2021.1,ARY VASCONCELOS MEDINO (90h),235T23,65,60,ICC ANF. 2
MAT0106,ANALISE 3,A,2021.1,JAQUELINE GODOY MESQUITA (60h),35M34,40,13,remoto
MAT0025,CÁLCULO 1,Y,2021.1,ALINE GOMES DA SILVA PINTO (30h),246M12,80,43,ICC ANF.12 E ICC ANF. 4
MAT0022,MATEMATICA 1,E,2021.1,TARCISIO CASTRO SILVA (30h),24N12,80,56,ICC ANF.12 E ICC ANF.16
MAT0025,CÁLCULO 1,SA,2021.1,ADAIL DE CASTRO CAVALHEIRO (30h),246M5 246T1,35,26,ICC ASS 415/10
MAT0022,MATEMATICA 1,E,2021.1,GLAUCIA LENITA DIERINGS (30h),24N12,80,56,ICC ANF.12 E ICC ANF.16
MAT0022,MATEMATICA 1,I,2021.1,EDUARDO ANTONIO DA SILVA (30h),46N12,80,28,BSA N A1 19/41 E ICC ANF.12
MAT0031,INTRODUCAO A ALGEBRA LINEAR,L,2021.1,IRINA SVIRIDOVA (60h),46M34,70,47,ICC ANF.12
MAT0131,GEOMETRIA PARA O ENSINO 2,B,2021.1,CLEYTON HERCULES GONTIJO (90h),7M34 3N1234,32,10,ASS 451/10
MAT0026,CÁLCULO 2,F,2021.1,LUIS ROBERTO LUCINGER DE ALMEIDA (90h),356M12,70,19,ICC ANF. 3 E ICC ANF. 7
MAT0022,MATEMATICA 1,N,2021.1,TARCISIO CASTRO SILVA (30h),24N12,80,55,BSA S BT 26/13 E ICC ANF.12
MAT0031,INTRODUCAO A ALGEBRA LINEAR,B,2021.1,ALBERTO MASAYOSHI FARIA OHASHI (60h),35T45,70,52,ICC ANF. 3
MAT0025,CÁLCULO 1,SE,2021.1,EMERSON FERREIRA DE MELO (30h),7M1234 4N12,35,19,BSA S B2 26/17
MAT0025,CÁLCULO 1,SD,2021.1,JOSE ANTONIO OLIVEIRA DE FREITAS (30h),7M1234 4N12,35,20,MAT ASS 402/10
MAT0026,CÁLCULO 2,03A,2021.1,LINDOMAR BOMFIM DE CARVALHO DE JESUS (90h),356T23,100,12,Remoto - FGA
MAT0045,ANALISE 1,A,2021.1,MA TO FU (60h),24M12,40,46,remoto
MAT0027,CÁLCULO 3,E,2021.1,RADERSON RODRIGUES DA SILVA (90h),235M34,70,65,BSA S B2 54/10
MAT0053,CALCULO NUMERICO,E,2021.1,CARLOS MABER CARRION RIVEROS (60h),24M12,70,63,ICC ANF. 5
MAT0022,MATEMATICA 1,A,2021.1,ANDREA GENOVESE DE OLIVEIRA (30h),24T45,80,54,ICC ANF.12
